k,bias,abs_bias,variance,is_ess_mean,is_ess_se
1,0.02131458442461709,0.02131458442461709,0.00011939387825072175,531.5566480303918,1.1315127848642144
2,0.02051242608181103,0.02051242608181103,0.0001220869044119103,525.4388324719713,1.3389800238754201
3,0.019291224046413036,0.019291224046413036,0.00013536353660811994,513.495872956233,1.8187914514335317
4,0.017929477530067905,0.017929477530067905,0.0001647570272870184,494.6900754440554,2.696771190318239
5,0.016286463147954677,0.016286463147954677,0.00020879549751996016,469.6827444442173,3.9343877434418726
6,0.014503643631503582,0.014503643631503582,0.0002678293985679784,440.54081049120333,5.199430215889336
7,0.012562854617282349,0.012562854617282349,0.000337459013944306,409.89903034346946,6.381490219469798
8,0.010624548460790528,0.010624548460790528,0.0004191981587735707,379.0810107013963,7.411026683583776
9,0.00868114272777154,0.00868114272777154,0.0005179536479643647,348.8429172059456,8.257975113817013
10,0.006880834754107057,0.006880834754107057,0.0006344484452993187,320.3231486429259,8.92873738632979
11,0.005144449423722719,0.005144449423722719,0.0007722044457311802,294.36387018270074,9.392582477872187
12,0.0034859954529558035,0.0034859954529558035,0.0009258691612030748,271.3219902077507,9.627817756782559
13,0.0018494904430647052,0.0018494904430647052,0.001103506806841078,250.92782238220107,9.62484884119156
14,0.00016037369660137912,0.00016037369660137912,0.0012946474187611394,232.61928373569714,9.473637029835857
15,-0.0014386127848381447,0.0014386127848381447,0.0014934467724454807,216.21092186410948,9.248465435327027
16,-0.0030530651504453443,0.0030530651504453443,0.0016952580409572075,201.45270601048813,8.959709868841335
17,-0.004466179298479034,0.004466179298479034,0.0019070779986774613,188.1787451805041,8.644293188056897
18,-0.00586167478158417,0.00586167478158417,0.002120116466004236,176.4751592364998,8.32714280783921
19,-0.00721348424955337,0.00721348424955337,0.002322576890319956,166.1317911790541,8.022171013495235
20,-0.008457765251818627,0.008457765251818627,0.002514752120613182,157.11798220433502,7.735276354969871
21,-0.009486483098739451,0.009486483098739451,0.0027094309643659158,149.3269653066618,7.481092705098664
22,-0.010321575553643103,0.010321575553643103,0.002904287874846809,142.61390008473046,7.25714837038808
23,-0.010829327625739626,0.010829327625739626,0.0030843157858862573,137.3417754555364,7.076446049716677
24,-0.011170151174041298,0.011170151174041298,0.0032292906987740912,133.93888483661306,6.9551851084777425
