k,bias,abs_bias,variance,is_ess_mean,is_ess_se
1,0.023639908179295066,0.023639908179295066,0.00013220479900814976,531.6189856355882,1.128069413516605
2,0.02273014103856197,0.02273014103856197,0.0001348334938525039,525.9812604977177,1.319504709510495
3,0.021398555431319743,0.021398555431319743,0.00014514256142768777,515.2456906961044,1.7510708369160433
4,0.019795396610778337,0.019795396610778337,0.00016564986102964545,498.9434211938823,2.4590986475450904
5,0.017997419388144476,0.017997419388144476,0.00019782247476317924,477.27656720348875,3.40078712378279
6,0.015995180694595268,0.015995180694595268,0.00024211064404992157,451.71069959325405,4.396708400817658
7,0.013885502459511256,0.013885502459511256,0.0002967452943043301,424.4120597616878,5.40355170663695
8,0.01175285158988204,0.01175285158988204,0.00036218245198568104,396.5378656154357,6.363455428079972
9,0.009533472240868979,0.009533472240868979,0.00044291169721197613,369.24076444422826,7.175540495622043
10,0.00753038257230676,0.00753038257230676,0.0005398123288417795,342.60441180327155,7.843012854978588
11,0.005633982963872075,0.005633982963872075,0.0006548237038352553,317.808478985728,8.342969260798048
12,0.003881664071117008,0.003881664071117008,0.0007871738468313186,295.07578293422296,8.67558089521587
13,0.0021622295433189054,0.0021622295433189054,0.0009341702309569573,274.5315403642485,8.812478283541033
14,0.00041825122511052193,0.00041825122511052193,0.001089791311116553,255.956025684743,8.802151186170299
15,-0.0012276306236089773,0.0012276306236089773,0.001244188858617867,239.19883002455543,8.679442954775114
16,-0.0028308988372420796,0.0028308988372420796,0.0014104795724241316,224.04756257133369,8.506372114610013
17,-0.004250775035782417,0.004250775035782417,0.0015871849013227926,210.46114613601063,8.293840325388672
18,-0.005652142037158914,0.005652142037158914,0.0017705352166749746,198.51530908211942,8.067772303609972
19,-0.007003595388249351,0.007003595388249351,0.0019535324308270026,187.96524156635388,7.847164401940608
20,-0.008238391762859676,0.008238391762859676,0.0021307243156281712,178.75358119276592,7.639307258644674
21,-0.009256612502183126,0.009256612502183126,0.0023036119121713746,170.68972587369973,7.447250389704647
22,-0.010114691747021287,0.010114691747021287,0.002468060761241181,163.72626931214091,7.273645784992566
23,-0.01072257468011173,0.01072257468011173,0.0026070637274365534,158.28216089948867,7.126047202577867
24,-0.011095549829643114,0.011095549829643114,0.0027173260705030617,154.72700134474263,7.0377952360367155
