k,bias,abs_bias,variance,is_ess_mean,is_ess_se
1,0.014296256019885045,0.014296256019885045,0.0002332255774537392,231.2582880594031,1.1386403418937874
2,0.01315109370704759,0.01315109370704759,0.00024593148155477887,229.65431078040356,1.2602372239789328
3,0.011683819133126994,0.011683819133126994,0.0002652816100898693,226.73374696718756,1.531688095070231
4,0.00998104802009192,0.00998104802009192,0.0002970348795703337,222.56830395456262,1.9129249089782852
5,0.008162794533168038,0.008162794533168038,0.0003409535719687756,217.23585643415203,2.3411877409247497
6,0.006255535256844302,0.006255535256844302,0.00040288582007276985,210.9687076855633,2.802173527774721
7,0.004459461803717035,0.004459461803717035,0.0004833761420295901,203.76507163522552,3.313237705304049
8,0.0025853344344385354,0.0025853344344385354,0.0005858504250521576,196.227639868131,3.78321755433444
9,0.0007153085847431129,0.0007153085847431129,0.000712267805529626,188.4861099164026,4.183972959915864
10,-0.0010393756716101654,0.0010393756716101654,0.0008586780481544365,180.595552442066,4.516261074099083
11,-0.0027067481567665252,0.0027067481567665252,0.001028322129191691,172.7481364542803,4.787133654826912
12,-0.004127201859199459,0.004127201859199459,0.0012287780745000249,165.13119910000893,4.995955621266646
13,-0.005360005026882497,0.005360005026882497,0.0014717972972684216,158.03241693356708,5.140110174405653
14,-0.006517054429891811,0.006517054429891811,0.001750462468643538,151.2729258120794,5.230672157798563
15,-0.007619267920598083,0.007619267920598083,0.0020702189957731995,144.88326346012934,5.280011363971323
16,-0.008612966676301181,0.008612966676301181,0.002425697595399729,138.82775538339553,5.295593683723531
17,-0.009522263092820893,0.009522263092820893,0.0028160845045292625,133.1364445931736,5.283987930888071
18,-0.01026383957056698,0.01026383957056698,0.003246187320557787,127.88423929089338,5.24261373262475
19,-0.010873815484963356,0.010873815484963356,0.003719400381854987,123.04104147518959,5.1823361531243926
20,-0.011516573367284955,0.011516573367284955,0.004198528786272044,118.65524207813482,5.107563922093033
21,-0.012184645977233899,0.012184645977233899,0.0046525082705083315,114.78013759751373,5.025283755911311
22,-0.012998110141191899,0.012998110141191899,0.0050803721840629815,111.51099435209899,4.934841148021163
23,-0.013588127150298224,0.013588127150298224,0.0055073166650658496,108.78896962384131,4.850646675302232
24,-0.014025590197665916,0.014025590197665916,0.005807344090676214,106.914126021579,4.791418929754068
