k,bias,abs_bias,variance,is_ess_mean,is_ess_se
1,0.02200181610811902,0.02200181610811902,0.0003488327829103809,230.8362911179921,1.1503241859037374
2,0.02140773008855512,0.02140773008855512,0.0003671011150507849,227.83544872034332,1.2963145453684377
3,0.020517613766167342,0.020517613766167342,0.00040032619091212005,222.6984061825316,1.5948037147664238
4,0.01943732629637146,0.01943732629637146,0.0004605940421479195,215.59509676819766,2.0649128033361075
5,0.01827476728327515,0.01827476728327515,0.000541641661254579,206.90522698320083,2.6298222825613156
6,0.017054085812985897,0.017054085812985897,0.0006416403682669133,197.5052623923117,3.1471547113153426
7,0.015906399076132283,0.015906399076132283,0.0007578972244919679,187.7305704426961,3.599337269717457
8,0.014917636289895009,0.014917636289895009,0.0008976972482760457,177.7842014629112,3.996319034192625
9,0.014024229734884042,0.014024229734884042,0.0010671489114835661,168.06382352404395,4.337373415658927
10,0.01331877099513723,0.01331877099513723,0.0012744964902859717,158.6870664953146,4.612873225949986
11,0.012540319170014691,0.012540319170014691,0.0015206781902194096,150.03649899941394,4.791564121399054
12,0.011865732723973732,0.011865732723973732,0.0017802664024232692,142.00417799192036,4.917429145013241
13,0.011287241700582595,0.011287241700582595,0.0020559757678203817,134.45849772249375,5.005521033994552
14,0.010541124525291101,0.010541124525291101,0.0023311244044092365,127.5377596194796,5.043539792635685
15,0.009783179932197295,0.009783179932197295,0.0026171411945873904,121.37024290252612,5.045644678799895
16,0.008944568797133956,0.008944568797133956,0.002871347793850164,115.8853052330362,5.0067691373192895
17,0.008123783995125144,0.008123783995125144,0.0031422203356934156,110.95930439938829,4.934005838967326
18,0.0072646186981064065,0.0072646186981064065,0.003418224534687132,106.65721800230676,4.835609597981092
19,0.006497511062319383,0.006497511062319383,0.0037074912769018377,102.85510315943012,4.730660116917787
20,0.005718198941380259,0.005718198941380259,0.003981694247355436,99.57570299721732,4.62555725712704
21,0.004933823413317384,0.004933823413317384,0.0042345533722185705,96.86615578720702,4.530640668686169
22,0.004146194301373918,0.004146194301373918,0.004467547709313356,94.70025535819107,4.435462987227897
23,0.0035091664649227194,0.0035091664649227194,0.004648271542316863,93.03852156194841,4.350961641320945
24,0.0030137140581190103,0.0030137140581190103,0.004736502283283822,92.07744491477568,4.30186947419234
