k,bias,abs_bias,variance,is_ess_mean,is_ess_se
1,-0.012593990234794766,0.012593990234794766,1.4912688701060625e-05,960.4795902806721,0.3015478861668596
2,-0.012569532580187101,0.012569532580187101,1.4973728991155478e-05,927.9861920434818,0.8695124830896468
3,-0.012437257810176655,0.012437257810176655,1.590314384155808e-05,881.1352972723759,1.634419858931511
4,-0.012128208580837505,0.012128208580837505,1.8351168895304153e-05,825.7100457671338,2.530208220718469
5,-0.011618254147574544,0.011618254147574544,2.4847118425756392e-05,766.1550241645637,4.374512811911891
6,-0.010942788422086944,0.010942788422086944,3.9253715777311715e-05,707.7616614403803,6.158009713568315
7,-0.01022094136466535,0.01022094136466535,6.067816270765033e-05,653.9864482734858,7.020179493991294
8,-0.009415955643454973,0.009415955643454973,8.660761517308266e-05,605.9469552313038,7.433511518495658
9,-0.008587873738665638,0.008587873738665638,0.00011566236589054145,563.1419100163127,7.5839717867500225
10,-0.007757512590872193,0.007757512590872193,0.00013981497641218221,524.7340849828965,7.63213852149729
11,-0.006961998044838866,0.006961998044838866,0.00015438915515393145,491.4924075003936,7.574234130999182
12,-0.006107936727971261,0.006107936727971261,0.00016725000326822236,461.432651556594,7.484120643981924
13,-0.005220940958663781,0.005220940958663781,0.0001816461279291834,434.3640070430212,7.334754966406321
14,-0.004350676854996946,0.004350676854996946,0.00019751458058344905,410.95722268830593,7.182272200176509
15,-0.003521909803526818,0.003521909803526818,0.000208427644134951,390.4721207273983,7.021331598551888
16,-0.002722435013225208,0.002722435013225208,0.00021855233095233005,372.4769898911259,6.898911429411059
17,-0.0020003013518871265,0.0020003013518871265,0.00022951018522928226,356.9977531375862,6.8419599581032235
18,-0.001315153195913743,0.001315153195913743,0.00024142600816777173,343.597880037381,6.793372874030988
19,-0.0007026731172306844,0.0007026731172306844,0.00025190523633557933,331.9510743301834,6.769573163454408
20,-0.00019609558586439202,0.00019609558586439202,0.00026061511775220204,322.2097661776668,6.768853807084491
21,0.00016248078729520776,0.00016248078729520776,0.0002684828810553099,314.61674980891286,6.800971576226552
22,0.0004227189533312914,0.0004227189533312914,0.00027531436626428184,308.8980250919371,6.837383607602421
23,0.000581414602459765,0.000581414602459765,0.0002816306868454632,305.07113294266287,6.888098321725712
24,0.0006535334039214358,0.0006535334039214358,0.0002856000958803294,303.18023959363114,6.947082317813491
