d_x,n,z_key,method,truth,mean_estimate,bias,variance,mse,rmse,repetitions
4,2000,z00,exact_finite_horizon_mis,0.4970458912859522,0.49708380735109386,3.791606514161439e-05,2.6093954612814084e-06,2.6108330892772315e-06,0.0016158072562274348,100
4,2000,z00,full_pdis,0.4970458912859522,0.4970202859789943,-2.560530695794483e-05,0.001112826546301251,0.0011128272019329958,0.033359064764063695,100
4,2000,z00,ours_k5,0.4970458912859522,0.4971551774493257,0.00010928616337343212,3.248445787531569e-06,3.260389253036454e-06,0.001805654798968079,100
4,2000,z00,self_normalized_pdis,0.4970458912859522,0.4966522519339658,-0.0003936393519865017,1.1916128154680738e-05,1.2071080094113096e-05,0.0034743459951641397,100
4,2000,z00,sequential_dr,0.4970458912859522,0.4965650240535544,-0.0004808672323978125,1.2208662308775649e-05,1.2439895603969581e-05,0.003527023618289163,100
4,2000,z00,trajectory_is,0.4970458912859522,0.49721055558702043,0.00016466430106826913,0.0013279193878067263,0.0013279465021387728,0.03644100029004106,100
4,2000,z01,exact_finite_horizon_mis,0.49544606263330876,0.4959565552878532,0.0005104926545444815,3.09458712541943e-06,3.3551898757633015e-06,0.0018317177391081033,100
4,2000,z01,full_pdis,0.49544606263330876,0.49698311790920807,0.0015370552758992456,0.0014805092896419023,0.0014828718285630719,0.03850807484882972,100
4,2000,z01,ours_k5,0.49544606263330876,0.49600824090007983,0.0005621782667710507,3.5433246261582213e-06,3.859369029787924e-06,0.001964527686185136,100
4,2000,z01,self_normalized_pdis,0.49544606263330876,0.4957000101586436,0.00025394752533490164,1.2209318064845447e-05,1.227380741046917e-05,0.003503399407785126,100
4,2000,z01,sequential_dr,0.49544606263330876,0.4956374963902799,0.00019143375697110553,1.2948111562438438e-05,1.2984758445746506e-05,0.003603437032299372,100
4,2000,z01,trajectory_is,0.49544606263330876,0.4971558916940576,0.0017098290607488464,0.0018146088265840981,0.0018175323420010798,0.04263252680760407,100
4,2000,z02,exact_finite_horizon_mis,0.4987217147288831,0.4983176190626352,-0.0004040956662478318,2.6297215799987916e-06,2.7930148874790705e-06,0.0016712315481342106,100
4,2000,z02,full_pdis,0.4987217147288831,0.49782474898978557,-0.0008969657390974612,0.001386758019910496,0.0013875625674476108,0.03725000090533705,100
4,2000,z02,ours_k5,0.4987217147288831,0.4984429524197438,-0.00027876230913924437,3.7168043937122068e-06,3.79451281870885e-06,0.0019479509282086267,100
4,2000,z02,self_normalized_pdis,0.4987217147288831,0.49798955877818313,-0.0007321559506999814,1.1036360119356333e-05,1.1572412455501728e-05,0.0034018248713744404,100
4,2000,z02,sequential_dr,0.4987217147288831,0.4979219294813124,-0.0007997852475707101,1.12721014180308e-05,1.1911757860262546e-05,0.003451341458080111,100
4,2000,z02,trajectory_is,0.4987217147288831,0.4983335935539905,-0.0003881211748926744,0.001671219948986302,0.001671370587032702,0.04088239947743652,100
4,2000,z03,exact_finite_horizon_mis,0.49991734163591417,0.49932309358446225,-0.0005942480514519144,2.9334749952943676e-06,3.2866057419487662e-06,0.001812899815750657,100
4,2000,z03,full_pdis,0.49991734163591417,0.5021622166970175,0.0022448750611033723,0.0012632474644691217,0.0012682869285090856,0.03561301627929156,100
4,2000,z03,ours_k5,0.49991734163591417,0.49944034490376,-0.0004769967321542545,3.491135716086598e-06,3.7186615985724353e-06,0.001928383156577664,100
4,2000,z03,self_normalized_pdis,0.49991734163591417,0.49888409550786944,-0.001033246128044723,1.343325856482161e-05,1.4500856125941023e-05,0.0038079989661160656,100
4,2000,z03,sequential_dr,0.49991734163591417,0.49883876820701883,-0.0010785734288953068,1.365666595948863e-05,1.481998660100761e-05,0.0038496735707079905,100
4,2000,z03,trajectory_is,0.49991734163591417,0.5022998231316759,0.0023824814957616757,0.0015116913445384634,0.001517367562616111,0.03895340245236751,100
4,2000,z04,exact_finite_horizon_mis,0.49413475220733005,0.494908508699269,0.0007737564919390017,2.6338178759361305e-06,3.2325169847538807e-06,0.0017979201830876366,100
4,2000,z04,full_pdis,0.49413475220733005,0.4887677169066078,-0.005367035300722164,0.0011976690886331357,0.0012264741565523336,0.03502105304745038,100
4,2000,z04,ours_k5,0.49413475220733005,0.4948367055014171,0.0007019532940870204,3.58128096666328e-06,4.074019393742899e-06,0.002018420024113638,100
4,2000,z04,self_normalized_pdis,0.49413475220733005,0.4946622225442947,0.0005274703369645517,1.2934068483194811e-05,1.3212293439572306e-05,0.003634871860131015,100
4,2000,z04,sequential_dr,0.49413475220733005,0.49457762410140055,0.00044287189407053284,1.3154802722860774e-05,1.3350938237418395e-05,0.0036538935722621145,100
4,2000,z04,trajectory_is,0.49413475220733005,0.4884384790562292,-0.005696273151100801,0.0014297301926102842,0.0014621777204222365,0.038238432504775044,100
4,2000,z05,exact_finite_horizon_mis,0.4937164827364504,0.4948513815631431,0.0011348988266927644,2.835098260512393e-06,4.123093607341006e-06,0.002030540225491976,100
4,2000,z05,full_pdis,0.4937164827364504,0.4897193486097278,-0.003997134126722632,0.0011713197960699106,0.0011872968772969218,0.034457174540245196,100
4,2000,z05,ours_k5,0.4937164827364504,0.49478634957826273,0.001069866841812414,3.610547475742898e-06,4.755162534952567e-06,0.0021806335168827813,100
4,2000,z05,self_normalized_pdis,0.4937164827364504,0.49460009998873466,0.0008836172522843555,1.1583525492138148e-05,1.2364304940672706e-05,0.0035162913617436064,100
