n,k,true_value,mean_estimate,bias,variance,mse_bias_var,empirical_mse
250.0,1.0,0.5348065061069869,0.5618086936866411,0.027002187579654224,0.0002596273740002793,0.0009887455080871122,0.000986581946637106
250.0,2.0,0.5348065061069869,0.5609596586184238,0.026153152511436906,0.0002722795060864336,0.0009562668923729122,0.0009539978964888477
250.0,3.0,0.5348065061069869,0.5597419372475044,0.02493543114051755,0.00029830618511332324,0.0009200819112768156,0.0009175960264008623
250.0,4.0,0.5348065061069869,0.558229779968679,0.023423273861692073,0.0003427253875145554,0.0008913751459143825,0.0008885191010184136
250.0,5.0,0.5348065061069869,0.5564590304379443,0.021652524330957434,0.0004089892129268698,0.0008778210228295735,0.0008744127793885159
250.0,6.0,0.5348065061069869,0.5546198709274041,0.01981336482041718,0.0004984903781718319,0.000891059803678777,0.0008869057171940057
250.0,7.0,0.5348065061069869,0.5528363997898694,0.018029893682882547,0.0006264092955049025,0.0009514863617209506,0.0009462662842583972
250.0,8.0,0.5348065061069869,0.5510816304202247,0.016275124313237854,0.0007919472906503963,0.0010568269620617422,0.0010502274013063234
250.0,9.0,0.5348065061069869,0.5491733345845146,0.014366828477527682,0.000990528652497438,0.0011969344130001384,0.0011886800075626576
250.0,10.0,0.5348065061069869,0.5471310530244284,0.012324546917441559,0.0012249291285670843,0.0013768235852873025,0.0013666158425492468
250.0,11.0,0.5348065061069869,0.5451535327331135,0.010347026626126632,0.0014959825577254332,0.0016030435177272068,0.001590576996412824
250.0,12.0,0.5348065061069869,0.543285247006968,0.00847874089998113,0.0018063295569875168,0.0018782186042365296,0.0018631658579282998
250.0,13.0,0.5348065061069869,0.5414690067776322,0.006662500670645333,0.0021476490149297043,0.002192037930116054,0.002174140854991639
250.0,14.0,0.5348065061069869,0.5398372474767879,0.005030741369800973,0.0025276635271804485,0.0025529718859102755,0.002531908023183778
250.0,15.0,0.5348065061069869,0.5381951148418807,0.003388608734893772,0.0029339031364612163,0.0029453858056194145,0.0029209366128155707
250.0,16.0,0.5348065061069869,0.5366709377707032,0.0018644316637163039,0.003351128211704745,0.003354604317133413,0.0033266782487025386
250.0,17.0,0.5348065061069869,0.5352842505696689,0.000477744462682006,0.0037861881924514344,0.0037864164322230576,0.003754864863952628
250.0,18.0,0.5348065061069869,0.5339288580601435,-0.0008776480468434267,0.004212078897402225,0.004212849163496353,0.0041777485060179986
250.0,19.0,0.5348065061069869,0.5327542643287201,-0.0020522417782667945,0.00464034948172138,0.004644561178037843,0.004605891599023499
250.0,20.0,0.5348065061069869,0.5317006558887875,-0.003105850218199424,0.005082737666455983,0.0050923839720338725,0.0050500278248134045
250.0,21.0,0.5348065061069869,0.5308587640441593,-0.003947742062827553,0.005578118793425529,0.005593703460820147,0.0055472191375416004
250.0,22.0,0.5348065061069869,0.5300023706069359,-0.004804135500050988,0.005940010993496489,0.0059630907113993395,0.005913590619786869
250.0,23.0,0.5348065061069869,0.5292051423958243,-0.005601363711162599,0.0061865827346922215,0.006217958010116951,0.0061664031539945185
250.0,24.0,0.5348065061069869,0.528557127516366,-0.006249378590620913,0.006332900781017733,0.006371955513786644,0.006319181340611494
