n,h,mean_estimate,true_value,behavior_value,behavior_bias,bias,variance,q_low_bias,q_high_bias,q_low_errorbar,q_high_errorbar
100.0,0.3981071705534972,0.4680372472716599,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.016410258529406172,0.0005606618474844029,-0.013207864799558176,0.04466825843325232,0.02961812332896435,0.028257999903846146
200.0,0.3465724215775732,0.4719234525212932,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.0202964637790395,0.00031475462688454237,-0.002933803433649044,0.03951601966878914,0.023230267212688546,0.01921955588974964
300.0,0.3195771718380609,0.4708114784398843,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.019184489697630466,0.0002805561623552742,-0.003032377640518257,0.037640727161665354,0.022216867338148722,0.018456237464034887
500.0,0.2885399811814427,0.4712021432396007,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.019575154497346894,0.00021032566005878343,0.0007231628386401959,0.03644643896505359,0.0188519916587067,0.016871284467706697
700.0,0.26976176347003633,0.47122459141753076,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.019597602675276948,0.00016137781928130709,0.0037766585780932014,0.03391363874460864,0.015820944097183747,0.014316036069331694
1000.0,0.251188643150958,0.4721273843597203,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.020500395617466572,0.00010660461428356692,0.007952087368801092,0.03289238479266371,0.01254830824866548,0.012391989175197137
1500.0,0.23162303512385887,0.47218803393781733,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.0205610451955636,6.165086634133584e-05,0.010138234015845144,0.029052791986126713,0.010422811179718456,0.008491746790563113
2000.0,0.2186724147886556,0.47223856654845264,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.020611577806198902,5.042570039217959e-05,0.011767195173422012,0.02867641941004191,0.00884438263277689,0.008064841603843007
3000.0,0.20163956369943328,0.471704706906694,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.020077718164440275,3.368086347685968e-05,0.011742013949568803,0.0273299653174887,0.008335704214871472,0.0072522471530484245
5000.0,0.18205642030260802,0.47121095013768444,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.01958396139543071,2.063386140737114e-05,0.014252668359794307,0.025482646070285064,0.005331293035636403,0.005898684674854354
7000.0,0.1702081659213481,0.4712862600584133,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.01965927131615951,1.64912840367719e-05,0.014704852297070558,0.02413316332236399,0.0049544190190889525,0.004473892006204478
10000.0,0.15848931924611134,0.4709958557812651,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.019368867039011358,1.0568262449563468e-05,0.015067278017160467,0.02281538904473827,0.004301589021850891,0.0034465220057269125
20000.0,0.13797296614612148,0.47124966288231646,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.019622674140062725,5.368061214555912e-06,0.016660386135059758,0.023168414478057547,0.002962288005002967,0.0035457403379948217
50000.0,0.11486983549970349,0.471369887736382,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.01974289899412819,2.8995757753385473e-06,0.01740792087554719,0.02199704561800962,0.0023349781185810006,0.0022541466238814277
100000.0,0.09999999999999999,0.47105129833292536,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.019424309590671606,2.4036174777144913e-06,0.017501648482042727,0.02155421591067359,0.0019226611086288793,0.002129906320001984
200000.0,0.0870550563296124,0.47098893501816813,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.019361946275914414,8.803501056543156e-07,0.018386819083356577,0.020561401402671382,0.000975127192557837,0.001199455126756968
500000.0,0.07247796636776954,0.47121733997036946,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.019590351228115668,4.2350758577845375e-06,0.018486711145188996,0.020298038304164823,0.001103640082926672,0.0007076870760491551
1000000.0,0.06309573444801932,0.4712211480175541,0.45162698874225377,0.47578219243696446,0.024155203694710692,0.01959415927530028,2.1342938593331384e-06,0.018703655573162094,0.020193707818435803,0.0008905037021381852,0.0005995485431355245
