k,bias,abs_bias,variance,is_ess_mean,is_ess_se
1,0.022851995038762507,0.022851995038762507,0.00010512841393211546,781.3050838296955,0.8586332181219312
2,0.022046591113058955,0.022046591113058955,0.00010944783509885155,769.9821582852272,1.0910108843663298
3,0.020785338120515695,0.020785338120515695,0.00011579240716096143,750.5562341575512,1.605398273724667
4,0.019313480966661245,0.019313480966661245,0.00012701418443215743,723.7399102904662,2.4049866645500018
5,0.01775984986352791,0.01775984986352791,0.0001416838591290885,690.4280963609873,3.487851674130475
6,0.01615072804767581,0.01615072804767581,0.0001627572374471122,652.7378402323536,4.756791951733968
7,0.014533895350853365,0.014533895350853365,0.0001908493054105702,613.0541933733779,6.003234726865634
8,0.013016609610665253,0.013016609610665253,0.00022471778370062874,573.0572056771709,7.122551278988882
9,0.011645202538396293,0.011645202538396293,0.00026837321768212637,533.7502201267832,8.152067503895587
10,0.010431728660761752,0.010431728660761752,0.00032532798822022504,495.86392866996164,9.107989602818112
11,0.009301415644327626,0.009301415644327626,0.00039882689971942463,460.8484316366431,9.992434395564262
12,0.008317748463460228,0.008317748463460228,0.0004897251686877452,428.6175881973487,10.695540294075682
13,0.007444131315057223,0.007444131315057223,0.0005975697411397394,399.399347315917,11.154571207806645
14,0.006497041826212913,0.006497041826212913,0.0007044913723036859,373.5144633035568,11.376951975611894
15,0.005677547643812897,0.005677547643812897,0.0008232436766690076,350.6098374483184,11.433656162909543
16,0.00477871562708182,0.00477871562708182,0.0009467355141122767,331.1327854473546,11.27720772686858
17,0.0038790981510010702,0.0038790981510010702,0.001063437316878005,313.9616107044077,11.058451953221981
18,0.0029901188973688875,0.0029901188973688875,0.0011805781082497352,299.13653374513336,10.843938727997266
19,0.0022260446458984284,0.0022260446458984284,0.001302276226688866,286.0735150226243,10.627395787217113
20,0.0014640342734755785,0.0014640342734755785,0.0014106499283308913,274.82269293780234,10.410140586111213
21,0.0008515533603768999,0.0008515533603768999,0.0015171972033254733,265.27404731971484,10.196664750664766
22,0.00028535966684628544,0.00028535966684628544,0.0016090946910688071,257.62893135332416,10.005593373423304
23,-0.0002214850762951026,0.0002214850762951026,0.0016773282201971082,251.97823321268478,9.858468541251682
24,-0.000509368665012111,0.000509368665012111,0.0017277548934977818,248.5099929372248,9.788939347322264
